top_k_students,uplift_assumption,cost_per_student,value_per_pass,incremental_passes,roi,reference_diff_from_5pct_sim
50,0.03,50,1200.0,1.5,-700.0,0.12
50,0.03,100,1200.0,1.5,-3200.0,0.12
50,0.03,150,1200.0,1.5,-5700.0,0.12
50,0.03,200,1200.0,1.5,-8200.0,0.12
50,0.03,300,1200.0,1.5,-13200.0,0.12
50,0.05,50,1200.0,2.5,500.0,0.12
50,0.05,100,1200.0,2.5,-2000.0,0.12
50,0.05,150,1200.0,2.5,-4500.0,0.12
50,0.05,200,1200.0,2.5,-7000.0,0.12
50,0.05,300,1200.0,2.5,-12000.0,0.12
50,0.08,50,1200.0,4.0,2300.0,0.12
50,0.08,100,1200.0,4.0,-200.0,0.12
50,0.08,150,1200.0,4.0,-2700.0,0.12
50,0.08,200,1200.0,4.0,-5200.0,0.12
50,0.08,300,1200.0,4.0,-10200.0,0.12
50,0.1,50,1200.0,5.0,3500.0,0.12
50,0.1,100,1200.0,5.0,1000.0,0.12
50,0.1,150,1200.0,5.0,-1500.0,0.12
50,0.1,200,1200.0,5.0,-4000.0,0.12
50,0.1,300,1200.0,5.0,-9000.0,0.12
